id,x,y,class
0,-49.812344,-4.1721506,0
1,-39.45251,-18.72797,0
2,-39.187496,-0.7961841,0
3,-25.753172,-6.70336,0
4,-32.970398,-20.95936,0
5,-35.838226,-1.3890193,0
6,-26.221249,-5.600016,0
7,-34.62187,3.197356,0
8,-39.544838,-18.175526,0
9,-43.011265,6.9316688,0
10,-42.99155,8.179752,0
11,-35.359524,1.2490295,0
12,-30.640013,-13.052471,0
13,-51.948605,4.0003543,0
14,-28.601889,-4.3474383,0
15,-30.692461,5.60067,0
16,-25.354969,-13.542837,0
17,-35.217426,5.0374646,0
18,-35.31403,-19.906755,0
19,-33.03226,-5.0849743,0
20,-24.877586,-5.1378613,0
21,-28.290228,-15.826944,0
22,-25.14109,-5.9033704,0
23,-43.51604,-4.358759,0
24,-49.43559,-15.671722,0
25,-47.897533,-15.382606,0
26,-28.789766,-2.0699306,0
27,-48.62643,3.900034,0
28,-52.804092,6.591424,0
29,-44.091015,5.3072624,0
30,-49.08298,-16.730516,0
31,-25.879904,-0.64656615,0
32,-25.459608,-0.62184316,0
33,-36.001083,5.606776,0
34,-41.687553,3.3754346,0
35,-46.200275,-14.405694,0
36,-44.264744,8.658648,0
37,-40.402996,0.3931846,0
38,-40.779785,-10.698545,0
39,-46.312077,-8.108037,0
40,-51.335575,-5.0911527,0
41,-32.236725,7.443635,0
42,-41.08614,-12.147218,0
43,-48.903336,-8.008584,0
44,-45.89089,-10.65412,0
45,-46.374214,4.8607507,0
46,-32.276337,-20.067112,0
47,-44.19305,-8.656492,0
48,-51.52778,-5.5800643,0
49,-41.13689,-0.88415277,0
50,-45.993763,-14.974834,0
51,-51.984203,-6.0160875,0
52,-46.656975,-15.518349,0
53,-48.81012,-10.341351,0
54,-43.074677,-3.9747472,0
55,-32.286278,-12.923041,0
56,-36.646557,0.7700559,0
57,-32.33958,-20.132858,0
58,-41.304317,-16.56281,0
59,-31.12696,5.9341393,0
60,-49.333088,-16.350237,0
61,-44.896126,7.4039793,0
62,-35.677002,-2.3464677,0
63,-29.71754,-12.818749,0
64,-26.927351,-2.2254303,0
65,-54.067245,6.513921,0
66,-41.35217,-11.842836,0
67,-23.921516,-14.742207,0
68,-35.683105,0.6656058,0
69,-25.292084,-15.3113785,0
70,-42.289764,-15.701749,0
71,-43.018238,-3.2099338,0
72,-47.072594,-9.546612,0
73,-49.16653,3.8945963,0
74,-35.83922,-2.716596,0
75,-53.11639,1.7592366,0
76,-51.02682,-6.261362,0
77,-51.77302,6.723987,0
78,-52.885612,3.1114953,0
79,-34.17785,2.9996614,0
80,-39.53905,5.5502796,0
81,-39.882935,4.4006,0
82,-53.06229,2.53769,0
83,-33.107483,-17.955568,0
84,-45.634098,-1.1017616,0
85,-40.034924,-17.291544,0
86,-35.319405,-12.115035,0
87,-50.88475,-4.5706387,0
88,-33.00912,7.3831096,0
89,-35.77909,1.4584843,0
90,-52.37928,6.4514155,0
91,-39.41177,-0.704252,0
92,-38.277493,4.18513,0
93,-41.696854,3.7341793,0
94,-45.91699,4.804527,0
95,-49.701336,-15.398453,0
96,-45.071526,-0.08796118,0
